UniProt_ID,score
P15941,0.6354200000000001
Q7Z434,0.5576200000000001
Q9BR39,0.76884
O43561,0.7408999999999999
P31431,0.14326000000000005
O75445,0.6567999999999999
Q9UM73,0.7052600000000001
Q9H461,0.6854400000000004
O14763,0.38876
P46531,0.6381800000000001
Q8N114,0.37168000000000007
Q07065,0.6443200000000003
P08172,0.26248
Q08345,0.45900000000000035
O60500,0.84248
P05067,0.8819800000000002
Q8WXG9,0.6098799999999998
P11362,0.4544400000000003
Q8NC56,0.2807200000000001
P40967,0.60766
P07766,0.2212999999999999
P20963,0.2564199999999999
P04626,0.3854000000000002
O75460,0.31934
P35968,0.6701800000000003
Q12879,0.5699999999999998
Q86WV6,0.07921999999999996
P07949,0.30844000000000005
P08908,0.70366
P01857,0.4037000000000001
Q7Z3C6,0.18828000000000003
O75581,0.67746
P63027,0.09250000000000001
O60733,0.58638
Q04671,0.26386000000000004
Q14BN4,0.6666399999999999
P15529,0.48857999999999996
Q8TEM1,0.6747799999999999
Q9UJA2,0.11795999999999994
P00533,0.45444
P21802,0.7090000000000001
P08247,0.42274000000000006
Q14739,0.21420000000000008
P29317,0.7064400000000001
P17948,0.5163
P05556,0.56464
P10747,0.05235999999999998
Q16635,0.057019999999999946
P61073,0.03727999999999996
Q15303,0.6312600000000002
O00254,0.11211999999999998
Q9H3U5,0.12801999999999997
Q9Y624,0.22696000000000013
P31645,0.2824400000000001
P49146,0.05945999999999995
P15954,0.037079999999999995
P13569,0.5884799999999999
Q9BRQ8,0.4578599999999999
Q03135,0.2317400000000001
Q13021,0.037479999999999986
