UniProt_ID,score
P15941,0.0038400000000000023
Q7Z434,0.004180000000000003
Q9BR39,0.005380000000000004
O43561,0.003120000000000002
P31431,0.0022000000000000014
O75445,0.0038400000000000027
Q9UM73,0.004220000000000002
Q9H461,0.0245
O14763,0.005020000000000004
P46531,0.008380000000000006
Q8N114,0.004800000000000003
Q07065,0.004660000000000003
P08172,0.06691999999999998
Q08345,0.005020000000000004
O60500,0.005980000000000004
P05067,0.009780000000000006
Q8WXG9,0.011200000000000009
P11362,0.005240000000000003
Q8NC56,0.005820000000000004
P40967,0.004360000000000003
P07766,0.0067000000000000046
P20963,0.005180000000000003
P04626,0.005260000000000003
O75460,0.01658000000000001
P35968,0.0036200000000000017
Q12879,0.0032800000000000025
Q86WV6,0.009420000000000006
P07949,0.005820000000000004
P08908,0.03195999999999998
Q7Z3C6,0.012040000000000009
O75581,0.01318000000000001
P63027,0.01250000000000001
O60733,0.010920000000000008
Q04671,0.08913999999999996
Q14BN4,0.004260000000000003
P15529,0.010040000000000007
Q8TEM1,0.01316000000000001
Q9UJA2,0.016720000000000013
P00533,0.003100000000000002
P21802,0.004760000000000004
P08247,0.03527999999999998
Q14739,0.01422000000000001
P29317,0.0035800000000000025
P17948,0.005700000000000004
P05556,0.0022800000000000016
P10747,0.0038800000000000024
P61073,0.015320000000000009
Q15303,0.005940000000000004
O00254,0.037719999999999976
Q9H3U5,0.06848
Q9Y624,0.0022800000000000016
P31645,0.09745999999999999
P49146,0.022799999999999997
P15954,0.005180000000000003
P13569,0.06009999999999998
Q9BRQ8,0.01626000000000001
Q13021,0.01474000000000001
