name,psap_score
P15941,0.004166666666666667
Q7Z434,0.016666666666666666
Q9BR39,0.024166666666666666
O43561,0.0016666666666666668
P31431,0.005
O75445,0.0008333333333333334
Q9UM73,0.0016666666666666668
Q9H461,0.010833333333333334
O14763,0.0008333333333333334
P46531,0.004166666666666667
Q8N114,0.004166666666666667
Q07065,0.014166666666666666
P08172,0.023333333333333334
Q08345,0.006666666666666667
O60500,0.02
P05067,0.013333333333333334
Q8WXG9,0.005
P11362,0.0016666666666666668
Q8NC56,0.004166666666666667
P40967,0.0016666666666666668
P07766,0.016666666666666666
P20963,0.008333333333333333
P04626,0.020833333333333332
O75460,0.0025
P35968,0.0
Q12879,0.025
Q86WV6,0.0075
P07949,0.013333333333333334
P08908,0.020833333333333332
Q7Z3C6,0.028333333333333332
O75581,0.035833333333333335
P63027,0.0008333333333333334
O60733,0.016666666666666666
Q04671,0.015833333333333335
Q14BN4,0.006666666666666667
P15529,0.0175
Q8TEM1,0.0075
Q9UJA2,0.02
P00533,0.021666666666666667
P21802,0.0
P08247,0.0375
Q14739,0.015833333333333335
P29317,0.023333333333333334
P17948,0.0016666666666666668
P05556,0.020833333333333332
P10747,0.0016666666666666668
P61073,0.025833333333333333
Q15303,0.004166666666666667
O00254,0.015833333333333335
Q9H3U5,0.016666666666666666
Q9Y624,0.0
P31645,0.014166666666666666
P49146,0.0175
P15954,0.009166666666666667
P13569,0.011666666666666667
Q9BRQ8,0.018333333333333333
Q13021,0.010833333333333334
