UniProt_ID,score
P15941,0.6361999999999999
Q7Z434,0.036379999999999975
O43561,0.030899999999999976
P31431,0.2838200000000001
O75445,0.6726599999999999
Q9UM73,0.6909199999999998
Q9H461,0.7484799999999998
O14763,0.2743200000000001
P46531,0.6479400000000003
Q8N114,0.05253999999999995
Q07065,0.5583400000000002
P08172,0.03641999999999998
Q08345,0.4154000000000002
O60500,0.6962799999999999
P05067,0.7758000000000002
Q8WXG9,0.6176799999999998
P11362,0.51494
P40967,0.030179999999999995
P07766,0.08765999999999999
P20963,0.017740000000000013
P04626,0.2804999999999999
O75460,0.29875999999999997
P35968,0.6087799999999998
Q12879,0.54308
Q86WV6,0.019800000000000016
P07949,0.27287999999999996
P08908,0.07417999999999995
P01857,0.4037000000000001
Q7Z3C6,0.06835999999999998
O75581,0.6572600000000002
P63027,0.02765999999999999
Q04671,0.1641
Q14BN4,0.025200000000000004
P15529,0.56372
Q8TEM1,0.6716599999999998
P00533,0.38326
P21802,0.5658799999999998
P08247,0.08995999999999998
Q14739,0.56774
P29317,0.48560000000000003
P17948,0.4919599999999999
P05556,0.5635000000000002
P10747,0.12544000000000008
Q16635,0.09163999999999999
P61073,0.10576000000000002
Q15303,0.40448000000000006
O00254,0.14512000000000003
Q9Y624,0.46004000000000006
P31645,0.03491999999999998
P49146,0.1157
P15954,0.04279999999999997
P13569,0.03159999999999998
