UniProt_ID,seg_idx,score
P15941,,0.8226779566841024
P31431,,0.40140791595115144
O75445,,0.6192947590770546
Q9UM73,,0.7515490793648962
Q9H461,,0.7896940342028782
O14763,,0.33501945658005283
P46531,,0.46547167143855905
Q8N114,,0.16717748721452827
Q07065,,0.68048123625187
P08172,,0.32447014064517593
Q08345,,0.6212699861731961
O60500,,0.7281165451903482
P05067,,0.7344462138568033
Q8WXG9,,0.33222712972262325
P11362,,0.6714096776654154
P40967,,0.25866911989389096
P07766,,0.12401129113837125
P04626,,0.371540899707839
O75460,,0.5441549576535176
P35968,,0.433320467243543
Q12879,,0.3088448748638799
Q86WV6,,0.41138328469499397
P07949,,0.3891213420903651
P08908,,0.36271173921431615
P01857,,0.3871847853274284
Q7Z3C6,,0.17381779555544952
O75581,,0.5408543358093589
Q04671,,0.1396679040976113
P15529,,0.6511131984232761
Q8TEM1,,0.4535371524144104
P00533,,0.3910713978721543
P21802,,0.5698252106351545
P08247,,0.11451495924316273
Q14739,,0.6145968140295306
P29317,,0.48884167589687844
P17948,,0.41871509754001285
P05556,,0.6231271349866099
P10747,,0.21363393999867802
Q16635,,0.16044629113455453
P61073,,0.1760516209417069
Q15303,,0.458293112797872
O00254,,0.19508372917509262
Q9Y624,,0.21450736784179883
P31645,,0.18501574468358262
P49146,,0.30074439015612286
P15954,,0.3625697507204373
P13569,,0.12143208213612636
