name,psap_score
P15941,0.014166666666666666
Q7Z434,0.0016666666666666668
O43561,0.0008333333333333334
P31431,0.006666666666666667
O75445,0.0125
Q9UM73,0.010833333333333334
Q9H461,0.024166666666666666
O14763,0.014166666666666666
P46531,0.0175
Q8N114,0.01
Q07065,0.0125
P08172,0.010833333333333334
Q08345,0.009166666666666667
O60500,0.01
P05067,0.02666666666666667
Q8WXG9,0.021666666666666667
P11362,0.015
P40967,0.004166666666666667
P07766,0.0175
P20963,0.008333333333333333
P04626,0.016666666666666666
O75460,0.018333333333333333
P35968,0.016666666666666666
Q12879,0.021666666666666667
Q86WV6,0.008333333333333333
P07949,0.0175
P08908,0.0175
P01857,0.015
Q7Z3C6,0.011666666666666667
O75581,0.0175
P63027,0.0008333333333333334
Q04671,0.015833333333333335
Q14BN4,0.0016666666666666668
P15529,0.009166666666666667
Q8TEM1,0.010833333333333334
P00533,0.018333333333333333
P21802,0.021666666666666667
P08247,0.014166666666666666
Q14739,0.0175
P29317,0.016666666666666666
P17948,0.020833333333333332
P05556,0.021666666666666667
P10747,0.015
Q16635,0.009166666666666667
P61073,0.016666666666666666
Q15303,0.02
O00254,0.011666666666666667
Q9Y624,0.014166666666666666
P31645,0.008333333333333333
P49146,0.016666666666666666
P15954,0.03166666666666667
P13569,0.011666666666666667
