UniProt_ID,score
P15941,0.10605999999999999
Q7Z434,0.6038799999999996
Q9BR39,0.8023800000000001
O43561,0.6701200000000002
P31431,0.12922
O75445,0.19498000000000001
Q9UM73,0.62154
Q9H461,0.6292
O14763,0.21488000000000007
P46531,0.74052
Q8N114,0.44238000000000016
Q07065,0.6849000000000001
P08172,0.5652999999999999
Q08345,0.42284000000000005
O60500,0.36975999999999987
P05067,0.14123999999999992
Q8WXG9,0.3419800000000002
P11362,0.3333400000000001
P40967,0.03747999999999998
P07766,0.29839999999999994
P20963,0.4468599999999998
P04626,0.68092
O75460,0.34979999999999994
P35968,0.53286
Q12879,0.59986
Q86WV6,0.15442000000000003
P07949,0.4654200000000002
P08908,0.2815800000000001
Q7Z3C6,0.32622000000000007
O75581,0.6141800000000003
P63027,0.21972000000000008
Q04671,0.2339400000000001
Q14BN4,0.6517999999999996
P15529,0.05663999999999997
Q8TEM1,0.10366000000000003
P00533,0.4117000000000004
P21802,0.40778000000000003
P08247,0.7430399999999999
P29317,0.54326
P17948,0.48955999999999994
P05556,0.12988000000000002
P10747,0.13662000000000002
P61073,0.11981999999999998
Q15303,0.7189200000000002
O00254,0.07687999999999998
Q9Y624,0.07709999999999996
P31645,0.2076
P49146,0.20518
P13569,0.6496400000000001
Q03135,0.28057999999999994
