UniProt_ID,seg_idx,score
P15941,,0.8098321704265643
Q7Z434,,0.8157379853939009
Q9BR39,,0.9085145678132642
O43561,,0.6475741385548002
P31431,,0.3751220971985444
O75445,,0.6112309185243979
Q9UM73,,0.85925445689782
Q9H461,,0.6823047967816465
O14763,,0.6988238830210836
P46531,,0.8347137030915559
Q8N114,,0.5456722251473847
Q07065,,0.824053519508696
P08172,,0.4707865788405745
Q08345,,0.7904547668784648
O60500,,0.8102068868890275
P05067,,0.7517669594641843
Q8WXG9,,0.5152989499266505
P11362,,0.7475201863033696
Q8NC56,,0.7480487431855307
P40967,,0.6474275875058453
P07766,,0.3840600106586072
P20963,,0.31857331715825005
P04626,,0.7916032112568478
O75460,,0.8076256814335443
P35968,,0.7475981455724243
Q12879,,0.7444131631049393
Q86WV6,,0.4465406365410429
P07949,,0.4284791594927323
P08908,,0.5755573841337309
P01857,,0.3871847853274284
Q7Z3C6,,0.570137646524983
O75581,,0.6863973018752079
P63027,,0.41076940679976104
O60733,,0.4812713663054601
Q04671,,0.5728288917641494
Q14BN4,,0.7615433156494418
P15529,,0.4297136769581865
Q8TEM1,,0.5098228666860232
Q9UJA2,,0.3495007206973131
P00533,,0.708737096472045
P21802,,0.6792178467362027
P08247,,0.5961894697111274
Q14739,,0.4318260637083343
P29317,,0.5090752430571824
P17948,,0.5983249120777914
P05556,,0.5887369735934134
P10747,,0.28131515688202086
Q16635,,0.18611841978154903
P61073,,0.33756011451956147
Q15303,,0.7417623343955715
O00254,,0.45468299376270765
Q9H3U5,,0.49627370329693327
Q9Y624,,0.2792030519407533
P31645,,0.4511420928032439
P49146,,0.2850098495429285
P15954,,0.1451981439729742
P13569,,0.319666687562136
Q9BRQ8,,0.160960749617091
Q03135,,0.09944173284853804
Q13021,,0.356358347216439
