UniProt_ID,seg_idx,score
P15941,,0.39556698472086793
Q7Z434,,0.8330745379708189
Q9BR39,,0.8945590709689284
O43561,,0.668891758549701
P31431,,0.3757598703438677
O75445,,0.3652975443557631
Q9UM73,,0.7942028954083203
Q9H461,,0.5400515430609639
O14763,,0.40586640020176135
P46531,,0.9096430344347542
Q8N114,,0.6448823330900546
Q07065,,0.6449927775108675
P08172,,0.6051416023208434
Q08345,,0.6803259123755538
O60500,,0.49501948792644
P05067,,0.3563983992628537
Q8WXG9,,0.48055189338494
P11362,,0.3738548160746867
P40967,,0.24388906165609625
P07766,,0.41411076521203444
P20963,,0.3724182603090155
P04626,,0.7821972512774278
O75460,,0.736585092439449
P35968,,0.7090396731281602
Q12879,,0.7580414618027969
Q86WV6,,0.40704940220572583
P07949,,0.33602638100135074
P08908,,0.4262157393532491
Q7Z3C6,,0.7922406558617741
O75581,,0.7239592645671089
P63027,,0.43244416304101824
Q04671,,0.5971122463692973
Q14BN4,,0.7439250601212538
P15529,,0.40158031615241263
Q8TEM1,,0.4735837386590408
P00533,,0.7436360421932625
P21802,,0.6025417216814728
P08247,,0.6933155469645624
P29317,,0.2815307031117362
P17948,,0.4209576044728785
P05556,,0.19258137491881883
P10747,,0.46485619128567457
P61073,,0.21655264118577827
Q15303,,0.7707305070670378
O00254,,0.21780041626903415
Q9Y624,,0.31315165419417096
P31645,,0.3510724395542263
P49146,,0.125507010784975
P13569,,0.48807950216019036
Q03135,,0.0939413384601818
