name,psap_score
P15941,0.03333333333333333
Q7Z434,0.0175
Q9BR39,0.03833333333333333
O43561,0.021666666666666667
P31431,0.016666666666666666
O75445,0.030833333333333334
Q9UM73,0.0325
Q9H461,0.0175
O14763,0.02666666666666667
P46531,0.019166666666666665
Q8N114,0.010833333333333334
Q07065,0.020833333333333332
P08172,0.03
Q08345,0.024166666666666666
O60500,0.019166666666666665
P05067,0.016666666666666666
Q8WXG9,0.025
P11362,0.0275
P40967,0.005
P07766,0.04583333333333333
P20963,0.021666666666666667
P04626,0.025833333333333333
O75460,0.016666666666666666
P35968,0.03
Q12879,0.030833333333333334
Q86WV6,0.028333333333333332
P07949,0.0325
P08908,0.03916666666666667
Q7Z3C6,0.02666666666666667
O75581,0.0225
P63027,0.015
Q04671,0.021666666666666667
Q14BN4,0.009166666666666667
P15529,0.015833333333333335
Q8TEM1,0.0008333333333333334
P00533,0.025833333333333333
P21802,0.028333333333333332
P08247,0.03666666666666667
P29317,0.0275
P17948,0.025833333333333333
P05556,0.035833333333333335
P10747,0.010833333333333334
P61073,0.015
Q15303,0.03916666666666667
O00254,0.0275
Q9Y624,0.02
P31645,0.0375
P49146,0.0375
P13569,0.020833333333333332
Q03135,0.04083333333333333
