UniProt_ID,seg_idx,score
P15941,,0.525997358332251
Q7Z434,,0.5106724733026158
Q9BR39,,0.40154975756564737
O43561,,0.5347628505405719
P31431,,0.4623102339986007
O75445,,0.5340124596043605
Q9UM73,,0.5290813647025467
Q9H461,,0.47868494886263413
O14763,,0.5121076395642211
P46531,,0.5899659477689763
Q8N114,,0.40408955383503
Q07065,,0.5916048218273569
P08172,,0.409509509560385
Q08345,,0.5254617299743511
O60500,,0.5222525215442053
P05067,,0.5552364669194518
Q8WXG9,,0.46852653887809803
P11362,,0.4643145933550472
Q8NC56,,0.5476210174927328
P40967,,0.5313215514215253
P07766,,0.44022267536349385
P20963,,0.472206197565668
P04626,,0.5288874802798802
O75460,,0.4712362967743385
P35968,,0.47511671613670803
Q12879,,0.43830217256366577
Q86WV6,,0.33987352821937167
P07949,,0.46095494581688945
P08908,,0.472778515787335
Q7Z3C6,,0.3951067659752671
O75581,,0.5691391174929641
P63027,,0.5547250680027838
O60733,,0.4359028963202399
Q04671,,0.6111934021203556
Q14BN4,,0.5379356885578265
P15529,,0.5180209818568984
Q8TEM1,,0.48459279243086206
Q9UJA2,,0.33719296838080126
P00533,,0.536199443986308
P21802,,0.40226322498786365
P08247,,0.45436225500682104
Q14739,,0.4267726828409528
P29317,,0.5346749605232195
P17948,,0.5506112223448828
P05556,,0.5222356352042711
P10747,,0.4730025455903851
P61073,,0.3942540281387774
Q15303,,0.47286617861174796
O00254,,0.45121356702493787
Q9H3U5,,0.4680417963376303
Q9Y624,,0.5571413615320857
P31645,,0.48672778699476715
P49146,,0.39135779425611217
P15954,,0.32472056915602276
P13569,,0.5181608113187434
Q9BRQ8,,0.5666690720630303
Q13021,,0.41120339470043166
