name,psap_score
P15941,0.011666666666666667
Q7Z434,0.0175
Q9BR39,0.034166666666666665
O43561,0.0175
P31431,0.0175
O75445,0.035
Q9UM73,0.03
Q9H461,0.0275
O14763,0.0125
P46531,0.029166666666666667
Q8N114,0.020833333333333332
Q07065,0.020833333333333332
P08172,0.035833333333333335
Q08345,0.021666666666666667
O60500,0.0225
P05067,0.03333333333333333
Q8WXG9,0.03166666666666667
P11362,0.02
Q8NC56,0.041666666666666664
P40967,0.013333333333333334
P07766,0.03
P20963,0.016666666666666666
P04626,0.025
O75460,0.02
P35968,0.018333333333333333
Q12879,0.03166666666666667
Q86WV6,0.021666666666666667
P07949,0.023333333333333334
P08908,0.034166666666666665
P01857,0.028333333333333332
Q7Z3C6,0.018333333333333333
O75581,0.03166666666666667
P63027,0.01
O60733,0.034166666666666665
Q04671,0.010833333333333334
Q14BN4,0.005
P15529,0.021666666666666667
Q8TEM1,0.0125
Q9UJA2,0.0075
P00533,0.024166666666666666
P21802,0.03666666666666667
P08247,0.025833333333333333
Q14739,0.028333333333333332
P29317,0.016666666666666666
P17948,0.035
P05556,0.025
P10747,0.0325
Q16635,0.0275
P61073,0.018333333333333333
Q15303,0.03333333333333333
O00254,0.0225
Q9H3U5,0.009166666666666667
Q9Y624,0.0175
P31645,0.014166666666666666
P49146,0.014166666666666666
P15954,0.013333333333333334
P13569,0.020833333333333332
Q9BRQ8,0.02
Q03135,0.023333333333333334
Q13021,0.005833333333333334
