UniProt_ID,Entry_name,PICNIC,PICNIC (GO),PSAP,PSPHunter,PSPire,FuzDrop,catGRANULE,PLAAC,PScore,ESpritz,SEG,SaPS,PdPS,DeepPhase,PDL,R+Y,ParSe2,LLPhyScore
Q07065,CKAP4_HUMAN,1.0,0.9491525423728814,0.9615384615384616,0.9661016949152542,0.7457627118644068,0.8135593220338984,0.7796610169491526,0.9661016949152542,0.9298245614035088,0.8305084745762712,0.864406779661017,1.0,0.9830508474576272,0.7454545454545455,0.7586206896551724,0.1694915254237288,0.6440677966101696,0.3389830508474576
P17948,VGFR1_HUMAN,0.9830508474576272,0.8983050847457628,0.3076923076923077,0.6101694915254237,0.8983050847457628,0.2542372881355932,0.711864406779661,0.3220338983050848,0.3157894736842105,0.22881355932203384,0.27118644067796616,0.15254237288135597,0.7457627118644068,0.2727272727272727,0.6724137931034483,0.6440677966101696,0.5254237288135593,0.8983050847457628
P05067,A4_HUMAN,0.9661016949152542,0.847457627118644,0.3076923076923077,1.0,0.7796610169491526,0.7457627118644068,0.4576271186440678,0.11864406779661019,0.736842105263158,0.22881355932203384,0.7627118644067796,0.2542372881355932,0.4576271186440678,,0.8793103448275862,0.288135593220339,0.3728813559322034,0.4067796610169492
Q9BR39,JPH2_HUMAN,0.9491525423728814,0.711864406779661,0.9807692307692307,0.711864406779661,0.6271186440677966,0.9661016949152542,1.0,0.9152542372881356,0.9473684210526316,0.9322033898305084,0.9322033898305084,0.9661016949152542,0.864406779661017,1.0,0.7931034482758621,0.847457627118644,0.8813559322033898,0.03389830508474578
P21802,FGFR2_HUMAN,0.9322033898305084,0.9322033898305084,0.3076923076923077,0.864406779661017,0.8813559322033898,0.31355932203389836,0.5254237288135593,0.1694915254237288,0.4035087719298246,0.6440677966101696,0.5084745762711864,0.5423728813559322,0.847457627118644,0.7090909090909091,0.9827586206896551,0.6779661016949152,0.4576271186440678,0.5932203389830508
O75460,ERN1_HUMAN,0.9152542372881356,1.0,0.3076923076923077,0.27118644067796616,0.4576271186440678,0.6101694915254237,0.5593220338983051,0.864406779661017,0.6491228070175439,0.22881355932203384,0.6779661016949152,0.4576271186440678,0.47457627118644063,0.8818181818181818,0.5862068965517242,0.4915254237288136,0.7457627118644068,0.7796610169491526
P35968,VGFR2_HUMAN,0.8983050847457628,0.8813559322033898,0.3076923076923077,0.7627118644067796,0.7966101694915254,0.5932203389830508,0.7627118644067796,0.22033898305084743,0.33333333333333337,0.6949152542372881,0.2033898305084746,0.03389830508474578,0.44067796610169496,0.6545454545454545,0.6551724137931034,0.47457627118644063,0.6271186440677966,0.8813559322033898
P00533,EGFR_HUMAN,0.8813559322033898,0.9830508474576272,0.7403846153846154,0.8983050847457628,1.0,0.3389830508474576,0.7457627118644068,0.8983050847457628,0.7719298245614035,0.576271186440678,0.576271186440678,0.9152542372881356,0.9661016949152542,0.8272727272727273,0.8620689655172413,0.3728813559322034,0.7966101694915254,0.711864406779661
Q9BRQ8,FSP1_HUMAN,0.864406779661017,0.7457627118644068,,0.1694915254237288,0.423728813559322,0.025423728813559365,0.6779661016949152,0.5593220338983051,0.3508771929824561,0.22881355932203384,0.30508474576271183,0.2033898305084746,0.27118644067796616,0.0,0.10344827586206895,0.3389830508474576,0.1694915254237288,0.3220338983050848
P11362,FGFR1_HUMAN,0.847457627118644,0.864406779661017,0.3076923076923077,0.847457627118644,0.5932203389830508,0.711864406779661,0.4915254237288136,0.18644067796610164,0.4736842105263158,0.6779661016949152,0.4067796610169492,0.6949152542372881,0.728813559322034,0.7727272727272727,0.9482758620689655,0.576271186440678,0.4067796610169492,0.6101694915254237
