UniProt_ID,ParSe2_score
A0A087X1C5,4.968327329144998
A0A0B4J2F0,0.0
A0A0B4J2F2,86.41900984280481
A0A0C5B5G6,
A0A0K2S4Q6,18.72888759970312
A0A0U1RRE5,23.77112579454575
A0A1B0GTW7,38.93084685852862
A0A5B9,3.4023684405638446
A0AV02,29.755735915239562
A0AV96,80.4199964694829
A0AVF1,0.23672497494549075
A0AVI4,0.0
A0AVK6,202.18351411343423
A0AVT1,29.270175038276413
A0FGR8,147.40222709270765
A0FGR9,24.58825115585218
A0JLT2,43.85818603086512
A0JNW5,176.40943827120293
A0JP26,130.7792596987055
A0M8Q6,10.762403651001575
A0MZ66,41.878389442718714
A0PJK1,4.386626674157688
A0PJY2,4.954226852718737
A0PK00,0.0
A0PK11,0.0
A1A4S6,112.04741503216103
A1A4Y4,39.9442168440269
A1A519,45.99817495265579
A1A5B4,8.94172453812149
A1A5C7,151.340011696193
A1E959,23.78089797554637
A1KXE4,160.86454261466548
A1KZ92,89.98666373107065
A1L0T0,6.030941856106395
A1L167,0.0
A1L190,0.0
A1L390,237.8951501145311
A1L3X0,0.0
A1L4H1,551.0639438100523
A1L4K1,28.58231986775613
A1X283,126.30970627767876
A1XBS5,4.319080079143191
A1Z1Q3,3.0673612778844914
A2A288,63.52155116800672
A2A2Y4,0.0
A2IDD5,43.59898581947334
A2PYH4,69.38906684857429
A2RRP1,21.308883597358665
A2RTX5,3.0503121051537114
A2RU14,0.0
A2RU30,28.685005842708843
A2RU49,20.303938116142106
A2RUB1,199.21647245066703
A2RUB6,138.5538651529084
A2RUC4,6.0883806686528565
A2RUH7,7.7077293240873095
A2VDJ0,241.24896054423326
A2VEC9,1060.1130017144756
A3KMH1,141.62728827982122
A4D0S4,243.56809362327866
A4D126,32.485656641912435
A4D161,17.68443928712423
A4D1B5,5.384660595766954
A4D1E9,52.88999051334633
A4D1P6,55.048016655570784
A4D1T9,1.2333808341907857
A4D256,6.740833274174203
A4D2B0,37.01084491170802
A4D2B8,50.673788085948495
A4GXA9,31.27546865698735
A4UGR9,346.53401094339813
A5D8T8,0.7386399743601417
A5D8V6,99.85782202300749
A5D8V7,7.083349469262065
A5D8W1,35.64628033508629
A5LHX3,21.16652676781095
A5PKW4,243.4658639071881
A5PLL7,0.0
A5PLN9,1.9233584819822598
A5X5Y0,9.455573448552748
A5YKK6,194.79921555886656
A5YM72,7.279907623378733
A6BM72,222.8806128556591
A6H8Y1,150.39922519535654
A6H8Z2,21.1876634485237
A6NC98,51.13996707484132
A6NCS4,186.1954055056347
A6ND01,6.816002569402613
A6ND36,102.63241283484541
A6NDB9,54.00311730827629
A6NDE4,375.5077198461199
A6NDG6,7.416652244962664
A6NDV4,11.547265242991433
A6NED2,26.60945392473657
A6NEM1,73.00192041273435
A6NFA1,25.278335650961715
A6NFQ2,11.321446833296495
A6NFX1,19.0104300181096
A6NFY7,27.013352494690213
A6NGG8,214.27682185967876
A6NGQ2,0.0
A6NGU5,22.56725161931383
A6NHR9,65.61307049488258
A6NI15,66.73474903413381
A6NI61,0.0
A6NI73,17.622780456570933
A6NIH7,0.3558856306624916
A6NIX2,212.3079373046669
A6NJ46,101.4426606324175
A6NJ78,22.177661781517966
A6NK06,8.735630057055479
